ESNERR_StCode,Region,Date,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),Ammonia,Nitrate,Phosphate,NumCode,month,Year,dryS,Subbasin
APN,Upper Slough,3/28/1992,36.8471,-121.7545,20.5,29.20000076,0.100000001,0.429399995,0.079999998,4,3,1992,0,Azevedo Pond
APN,Upper Slough,5/25/1992,36.8471,-121.7545,22.5,33.29999924,0.050000001,0.0226,0.100000001,4,5,1992,1,Azevedo Pond
APN,Upper Slough,6/30/1992,36.8471,-121.7545,24,33.5,0.400000006,0.0055,0.079999998,4,6,1992,1,Azevedo Pond
APN,Upper Slough,7/20/1992,36.8471,-121.7545,23.5,34.5,0.600000024,0.0055,0.25999999,4,7,1992,1,Azevedo Pond
APN,Upper Slough,8/8/1992,36.8471,-121.7545,33.5,33.5,0.200000003,0.090400001,0.050000001,4,8,1992,1,Azevedo Pond
APN,Upper Slough,9/29/1992,36.8471,-121.7545,20,33.20000076,0.5,0.158199997,0.109999999,4,9,1992,1,Azevedo Pond
APN,Upper Slough,10/27/1992,36.8471,-121.7545,17.79999924,31,0.05,0.587599978,0.050000001,4,10,1992,1,Azevedo Pond
APN,Upper Slough,11/16/1992,36.8471,-121.7545,15.5,32.09999847,0.05,0.158199997,0.029999999,4,11,1992,0,Azevedo Pond
APN,Upper Slough,12/7/1992,36.8471,-121.7545,13.80000019,27.79999924,0.05,1.378599978,0.079999998,4,12,1992,0,Azevedo Pond
APN,Upper Slough,1/28/1993,36.8471,-121.7545,13.80000019,14.84271206,0.5,8.746200172,0.07,4,1,1993,0,Azevedo Pond
APN,Upper Slough,2/23/1993,36.8471,-121.7545,13.10000038,17.10000038,0.200000003,3.955,0.090000004,4,2,1993,0,Azevedo Pond
APN,Upper Slough,3/29/1993,36.8471,-121.7545,18.89999962,6.412004813,0.400000006,5.808200172,0.419999987,4,3,1993,0,Azevedo Pond
APN,Upper Slough,4/30/1993,36.8471,-121.7545,25.20000076,25.89999962,0.200000003,0.452,0.159999996,4,4,1993,0,Azevedo Pond
APN,Upper Slough,5/24/1993,36.8471,-121.7545,19.5,30.20000076,0.200000003,0.452,0.050000001,4,5,1993,1,Azevedo Pond
APN,Upper Slough,6/28/1993,36.8471,-121.7545,24.79999924,34.20000076,0.200000003,0.678,0.100000001,4,6,1993,1,Azevedo Pond
APN,Upper Slough,7/27/1993,36.8471,-121.7545,19.79999924,33.90000153,0.200000003,0.452,0.07,4,7,1993,1,Azevedo Pond
APN,Upper Slough,8/9/1993,36.8471,-121.7545,24.5,31,0.200000003,0.678,0.079999998,4,8,1993,1,Azevedo Pond
APN,Upper Slough,9/20/1993,36.8471,-121.7545,17.20000076,27.79999924,0.05,0.452,0.059999999,4,9,1993,1,Azevedo Pond
APN,Upper Slough,10/25/1993,36.8471,-121.7545,20.89999962,32.20000076,0.059999999,0.678,0.100000001,4,10,1993,1,Azevedo Pond
APN,Upper Slough,11/15/1993,36.8471,-121.7545,11.5,31.20000076,0.059999999,0.226,0.059999999,4,11,1993,0,Azevedo Pond
APN,Upper Slough,12/20/1993,36.8471,-121.7545,8,29,0.170000002,1.13,0.039999999,4,12,1993,0,Azevedo Pond
APN,Upper Slough,1/30/1994,36.8471,-121.7545,13,29,0.100000001,1.582,0.050000001,4,1,1994,0,Azevedo Pond
APN,Upper Slough,3/7/1994,36.8471,-121.7545,NA,32.41944322,0.129999995,0.678,0.050000001,4,3,1994,0,Azevedo Pond
APN,Upper Slough,5/2/1994,36.8471,-121.7545,17.79999924,27.20000076,0.025,0.452,0.050000001,4,5,1994,1,Azevedo Pond
APN,Upper Slough,6/13/1994,36.8471,-121.7545,25.79999924,34.79264738,0.140000001,0.678,0.079999998,4,6,1994,1,Azevedo Pond
APN,Upper Slough,7/26/1994,36.8471,-121.7545,22.5,22.5,0.025,0.452,0.079999998,4,7,1994,1,Azevedo Pond
APN,Upper Slough,8/29/1994,36.8471,-121.7545,20.5,36.2135623,0.239999995,0.452,0.159999996,4,8,1994,1,Azevedo Pond
APN,Upper Slough,9/20/1994,36.8471,-121.7545,17.79999924,26.20000076,0.129999995,0.113,0.090000004,4,9,1994,1,Azevedo Pond
APN,Upper Slough,10/24/1994,36.8471,-121.7545,14.80000019,27.29999924,0.090000004,0.113,0.07,4,10,1994,1,Azevedo Pond
APN,Upper Slough,11/14/1994,36.8471,-121.7545,11.69999981,22,0.090000004,0.226,0.050000001,4,11,1994,0,Azevedo Pond
APN,Upper Slough,12/31/1994,36.8471,-121.7545,10.39999962,23,0.059999999,0.113,0.050000001,4,12,1994,0,Azevedo Pond
APN,Upper Slough,1/30/1995,36.8471,-121.7545,15.89999962,20,0.219999999,1.808,0.209999993,4,1,1995,0,Azevedo Pond
APN,Upper Slough,3/27/1995,36.8471,-121.7545,20.20000076,15.19999981,0.150000006,2.938,0.219999999,4,3,1995,0,Azevedo Pond
APN,Upper Slough,4/24/1995,36.8471,-121.7545,22.60000038,28,0.239999995,1.13,0.430000007,4,4,1995,0,Azevedo Pond
APN,Upper Slough,5/22/1995,36.8471,-121.7545,22.39999962,31,0.090000004,1.582,0.059999999,4,5,1995,1,Azevedo Pond
APN,Upper Slough,6/29/1995,36.8471,-121.7545,16.70000076,33.70000076,0.239999995,0.113,0.015,4,6,1995,1,Azevedo Pond
APN,Upper Slough,7/21/1995,36.8471,-121.7545,NA,28.97935164,0.140000001,0.113,0.100000001,4,7,1995,1,Azevedo Pond
APN,Upper Slough,8/29/1995,36.8471,-121.7545,NA,34.86721295,0.025,0.113,0.119999997,4,8,1995,1,Azevedo Pond
APN,Upper Slough,9/25/1995,36.8471,-121.7545,17.79999924,34.94147767,0.059999999,0.113,0.100000001,4,9,1995,1,Azevedo Pond
APN,Upper Slough,10/24/1995,36.8471,-121.7545,15.39999962,32.77677626,0.090000004,0.113,0.079999998,4,10,1995,1,Azevedo Pond
APN,Upper Slough,11/28/1995,36.8471,-121.7545,17.20000076,33.84147626,0.07,0.226,0.050000001,4,11,1995,0,Azevedo Pond
APN,Upper Slough,12/19/1995,36.8471,-121.7545,10.89999962,32.27234648,0.180000007,0.452,0.050000001,4,12,1995,0,Azevedo Pond
APN,Upper Slough,1/30/1996,36.8471,-121.7545,10.69999981,30.80306254,0.07,0.452,0.039999999,4,1,1996,0,Azevedo Pond
APN,Upper Slough,2/29/1996,36.8471,-121.7545,12.5,22.63748887,0.25,1.582,0.25,4,2,1996,0,Azevedo Pond
APN,Upper Slough,3/26/1996,36.8471,-121.7545,16.10000038,29.0156533,0.379999995,0.904,0.07,4,3,1996,0,Azevedo Pond
APN,Upper Slough,4/29/1996,36.8471,-121.7545,20.70000076,34.77649527,0.25,0.113,0.119999997,4,4,1996,0,Azevedo Pond
APN,Upper Slough,5/28/1996,36.8471,-121.7545,13.19999981,34.64160324,0.090000004,0.113,0.079999998,4,5,1996,1,Azevedo Pond
APN,Upper Slough,6/29/1996,36.8471,-121.7545,NA,36.13855795,0.025,0.113,0.050000001,4,6,1996,1,Azevedo Pond
APN,Upper Slough,7/30/1996,36.8471,-121.7545,24,35.68544013,0.07,0.113,0.015,4,7,1996,1,Azevedo Pond
APN,Upper Slough,8/26/1996,36.8471,-121.7545,18.29999924,35.4146144,0.079999998,0.158199997,0.029999999,4,8,1996,1,Azevedo Pond
APN,Upper Slough,9/30/1996,36.8471,-121.7545,16.60000038,35.09156709,0.170000002,0.113,0.079999998,4,9,1996,1,Azevedo Pond
APN,Upper Slough,10/21/1996,36.8471,-121.7545,15.80000019,34.40200266,0.050000001,0.113,0.050000001,4,10,1996,1,Azevedo Pond
APN,Upper Slough,11/18/1996,36.8471,-121.7545,15.10000038,29.67312575,0.25999999,0.452,0.059999999,4,11,1996,0,Azevedo Pond
APN,Upper Slough,12/31/1996,36.8471,-121.7545,13.80000019,21.62000084,0.300000012,3.842,0.119999997,4,12,1996,0,Azevedo Pond
APN,Upper Slough,1/28/1997,36.8471,-121.7545,13.39999962,3.949209663,0.430000007,0.678,0.270000011,4,1,1997,0,Azevedo Pond
APN,Upper Slough,2/28/1997,36.8471,-121.7545,11.80000019,27.54000092,0.180000007,NA,0.090000004,4,2,1997,0,Azevedo Pond
APN,Upper Slough,3/24/1997,36.8471,-121.7545,18,36.65108266,0.119999997,0.113,0.07,4,3,1997,0,Azevedo Pond
APN,Upper Slough,4/23/1997,36.8471,-121.7545,19.5,32.37610097,0.109999999,0.226,0.119999997,4,4,1997,0,Azevedo Pond
APN,Upper Slough,5/27/1997,36.8471,-121.7545,28.60000038,31.99098197,0.170000002,0.113,0.039999999,4,5,1997,1,Azevedo Pond
APN,Upper Slough,6/24/1997,36.8471,-121.7545,23.89999962,31.83565332,0.025,0.226,0.059999999,4,6,1997,1,Azevedo Pond
APN,Upper Slough,7/29/1997,36.8471,-121.7545,24.60000038,31.54999924,0.025,0.113,0.189999998,4,7,1997,1,Azevedo Pond
APN,Upper Slough,8/25/1997,36.8471,-121.7545,24.60000038,31.42000008,0.059999999,0.452,0.129999995,4,8,1997,1,Azevedo Pond
APN,Upper Slough,10/3/1997,36.8471,-121.7545,16.20000076,31.96999931,0.059999999,0.113,0.119999997,4,10,1997,1,Azevedo Pond
APN,Upper Slough,10/28/1997,36.8471,-121.7545,15,30.77000046,0.059999999,0.452,0.050000001,4,10,1997,1,Azevedo Pond
APN,Upper Slough,11/17/1997,36.8471,-121.7545,16.79999924,29.12999916,0.079999998,0.226,0.039999999,4,11,1997,0,Azevedo Pond
APN,Upper Slough,12/31/1997,36.8471,-121.7545,12.5,29.42000008,0.07,0.452,0.050000001,4,12,1997,0,Azevedo Pond
APN,Upper Slough,2/3/1998,36.8471,-121.7545,12.5,2.089999914,0.449999988,1.356,0.389999986,4,2,1998,0,Azevedo Pond
APN,Upper Slough,2/24/1998,36.8471,-121.7545,13.39999962,7.21999979,0.150000006,1.582,0.180000007,4,2,1998,0,Azevedo Pond
APN,Upper Slough,3/31/1998,36.8471,-121.7545,19.10000038,20.67000008,0.200000003,0.678,0.100000001,4,3,1998,0,Azevedo Pond
APN,Upper Slough,4/28/1998,36.8471,-121.7545,24.89999962,29.06999969,0.150000006,0.452,0.140000001,4,4,1998,0,Azevedo Pond
APN,Upper Slough,6/1/1998,36.8471,-121.7545,22.60000038,29.19000053,0.270000011,NA,0.159999996,4,6,1998,1,Azevedo Pond
APN,Upper Slough,7/27/1998,36.8471,-121.7545,22.70000076,33.81000137,0.025,0.452,0.059999999,4,7,1998,1,Azevedo Pond
APN,Upper Slough,8/31/1998,36.8471,-121.7545,22.10000038,36.86999893,0.025,0.904,0.170000002,4,8,1998,1,Azevedo Pond
